score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,34631.57267406583
,,,cputime,68.89366708700001
664,-33.996,-33.765,,
665,-34.089,-33.859,,
666,-34.181,-33.949,,
667,-34.274,-34.046,,
668,-34.367,-34.132,,
669,-34.46,-34.218,,
670,-34.553,-34.291,,
671,-34.646,-34.367,,
672,-34.739,-34.451,,
673,-34.832,-34.545,,
674,-34.926,-34.62,,
675,-35.02,-34.699,,
676,-35.114,-34.791,,
677,-35.207,-34.867,,
678,-35.302,-34.946,,
679,-35.396,-35.041,,
680,-35.49,-35.117,,
681,-35.585,-35.206,,
682,-35.679,-35.281,,
683,-35.774,-35.358,,
684,-35.869,-35.44,,
685,-35.964,-35.52,,
686,-36.059,-35.603,,
687,-36.154,-35.665,,
688,-36.25,-35.743,,
689,-36.345,-35.823,,
690,-36.441,-35.891,,
690.426,-36.482,-35.95,,
691.049,-36.541,-36.011,,
692.044,-36.637,-36.066,,
693.097,-36.738,-36.139,,
694.006,-36.826,-36.229,,
695.047,-36.926,-36.317,,
696.004,-37.018,-36.419,,
697.145,-37.128,-36.476,,
697.877,-37.199,-36.528,,
698.069,-37.218,-36.532,,
698.9,-37.298,-36.634,,
699.878,-37.393,-36.715,,
700.076,-37.413,-36.719,,
701.861,-37.586,-36.83,,
702.888,-37.686,-36.934,,
703.759,-37.771,-37.006,,
704.606,-37.854,-37.069,,
705.943,-37.984,-37.155,,
706.956,-38.084,-37.219,,
707.783,-38.165,-37.279,,
708.117,-38.198,-37.286,,
708.984,-38.283,-37.393,,
709.11,-38.295,-37.4,,
709.3,-38.314,-37.408,,
709.343,-38.318,-37.415,,
709.438,-38.327,-37.423,,
709.468,-38.33,-37.43,,
709.639,-38.347,-37.438,,
709.677,-38.351,-37.445,,
709.884,-38.371,-37.453,,
709.889,-38.372,-37.461,,
710.043,-38.387,-37.469,,
710.08,-38.391,-37.476,,
710.121,-38.395,-37.484,,
710.132,-38.396,-37.492,,
710.142,-38.397,-37.5,,
710.316,-38.414,-37.508,,
710.355,-38.418,-37.516,,
710.371,-38.419,-37.524,,
710.494,-38.431,-37.532,,
710.509,-38.433,-37.541,,
710.535,-38.435,-37.549,,
710.738,-38.455,-37.557,,
710.829,-38.464,-37.565,,
710.953,-38.476,-37.574,,
711.012,-38.482,-37.582,,
711.332,-38.514,-37.591,,
711.368,-38.517,-37.599,,
711.46,-38.526,-37.608,,
711.538,-38.534,-37.616,,
711.553,-38.536,-37.625,,
711.575,-38.538,-37.634,,
711.623,-38.543,-37.642,,
711.662,-38.546,-37.651,,
711.742,-38.554,-37.66,,
712.012,-38.581,-37.669,,
712.171,-38.597,-37.678,,
712.186,-38.598,-37.687,,
712.215,-38.601,-37.696,,
712.224,-38.602,-37.705,,
712.298,-38.609,-37.715,,
712.305,-38.61,-37.724,,
712.316,-38.611,-37.733,,
712.383,-38.617,-37.743,,
712.515,-38.631,-37.752,,
712.541,-38.633,-37.762,,
712.565,-38.636,-37.771,,
712.815,-38.66,-37.781,,
713.187,-38.697,-37.791,,
713.725,-38.75,-37.8,,
713.748,-38.752,-37.81,,
713.759,-38.754,-37.82,,
713.817,-38.759,-37.83,,
714.255,-38.803,-37.84,,
714.384,-38.815,-37.85,,
714.411,-38.818,-37.86,,
714.542,-38.831,-37.871,,
714.663,-38.843,-37.881,,
714.738,-38.85,-37.891,,
714.909,-38.867,-37.902,,
714.913,-38.868,-37.913,,
714.97,-38.873,-37.923,,
715.283,-38.904,-37.934,,
715.33,-38.909,-37.945,,
715.406,-38.917,-37.956,,
715.923,-38.968,-37.967,,
717.054,-39.08,-37.978,,
717.156,-39.09,-37.989,,
717.255,-39.1,-38.0,,
717.467,-39.121,-38.011,,
717.628,-39.137,-38.023,,
717.634,-39.138,-38.034,,
717.764,-39.151,-38.046,,
717.776,-39.152,-38.057,,
717.852,-39.16,-38.069,,
717.979,-39.172,-38.081,,
718.338,-39.208,-38.093,,
718.947,-39.268,-38.105,,
719.34,-39.308,-38.117,,
719.471,-39.321,-38.13,,
719.502,-39.324,-38.142,,
719.997,-39.373,-38.155,,
720.056,-39.379,-38.167,,
720.193,-39.393,-38.18,,
720.376,-39.411,-38.193,,
720.418,-39.415,-38.206,,
720.492,-39.423,-38.219,,
720.53,-39.426,-38.232,,
720.686,-39.442,-38.245,,
720.754,-39.449,-38.259,,
720.771,-39.45,-38.272,,
720.958,-39.469,-38.286,,
720.968,-39.47,-38.3,,
721.259,-39.499,-38.313,,
721.299,-39.503,-38.328,,
721.487,-39.522,-38.342,,
721.606,-39.534,-38.356,,
721.629,-39.536,-38.371,,
721.7,-39.543,-38.385,,
722.053,-39.579,-38.4,,
722.069,-39.58,-38.415,,
722.285,-39.602,-38.43,,
722.513,-39.625,-38.445,,
722.762,-39.65,-38.461,,
722.905,-39.664,-38.476,,
723.13,-39.686,-38.492,,
723.963,-39.77,-38.508,,
724.788,-39.853,-38.524,,
724.831,-39.857,-38.541,,
724.877,-39.862,-38.557,,
724.908,-39.865,-38.574,,
725.059,-39.88,-38.591,,
725.065,-39.88,-38.608,,
725.716,-39.946,-38.625,,
726.49,-40.024,-38.642,,
726.853,-40.06,-38.66,,
728.028,-40.178,-38.678,,
728.341,-40.21,-38.696,,
728.484,-40.224,-38.715,,
728.518,-40.228,-38.733,,
728.623,-40.238,-38.752,,
729.186,-40.295,-38.771,,
730.071,-40.385,-38.791,,
730.098,-40.388,-38.81,,
730.45,-40.423,-38.83,,
730.717,-40.45,-38.85,,
731.218,-40.501,-38.871,,
731.606,-40.54,-38.891,,
731.712,-40.551,-38.913,,
731.829,-40.563,-38.934,,
732.34,-40.614,-38.956,,
732.497,-40.63,-38.978,,
733.82,-40.765,-39.0,,
734.139,-40.797,-39.023,,
